POINT_X,POINT_Y,NAME,Long_Val,Date_test
85.32534538,27.67385177,Patan Durbar Square in Lalitpur City,1,12/3/2020 10:10
85.3280265,27.63923091,Dhapakhel Village,2,12/3/2020 10:10
85.32856914,27.67289552,Lalitpur District,3,12/3/2020 10:10
85.314422,27.69411016,Statue of King Tribhuwan in Tripureshwor City,4,12/3/2020 10:10
85.30917367,27.69545089,Teku City,5,12/3/2020 10:10
85.31140493,27.70052487,Dharahara in Sundhara City,6,12/3/2020 10:10
85.32425464,27.6055336,Chapagaun Village,7,12/3/2020 10:10
85.2453987,27.68737635,Satungal Village,8,12/3/2020 10:10
85.28324819,27.71228653,Sitapaila Village,9,12/3/2020 10:10
85.28794799,27.69114297,Kuleshwor City,,
85.28202136,27.69879872,Kalimati Village,11,
85.301911,27.62970986,Bungamati Municipality,12,12/3/2020 10:10
85.4647942,27.72975122,Pukhulachhi Village,13,
85.46444033,27.72931834,Pukhulachhi Village,14,
85.3055003,27.7348732,Machhapokhari Neighborhood,15,
85.3055003,27.7348732,Machhapokhari Neighborhood,16,
85.30549846,27.73486821,Machhapokhari Neighborhood,,
85.29810033,27.68688274,Lalitpur District,18,
85.33749545,27.7366267,Chundevi Town,19,
85.30609455,27.70476199,Basantapur Village,20,
85.429055,27.67217682,Bhaktapur Temple in Bahtapur Town,21,
85.42907646,27.67111253,Bhaktapur Bazar House in Bahaktapur Town,22,
85.42826878,27.67172507,Behind Bhaktapur Darbar House in Bahaktapur Town,23,
85.34014296,27.70069863,Seven Story House in Old Baneshwor,24,
85.32953348,27.70494578,Pipalbot Chowk House in Dilli Bazar City,25,
85.32553045,27.67462885,Patan City,26,
85.30708264,27.7036978,"Basantapur Temple, Katmandu",27,12/3/2020 10:10
